username;id;twitter_id;Party;Snapshots
XarAthan;105;2840171877;4;19-48
xrisalex;425;93629265;4;19-48
amanatidis_g;484;1205419430781630000;4;32-48
amirasgiorgos;351;75256329;4;19-48
savanastasiadis;191;852566696;4;19-48
giannisflorina;456;779274745854451713;4;19-48
ArampatziFotini;171;537431019;4;19-48
l_avgenakis;106;706861315344749000;4;19-48
avgerinopoulou;405;142677826;4;19-48
GVagionas;284;2955647698;4;19-48
MVarvitsiotis;318;60591084;4;19-48
DimVartzopoulos;384;927913279;4;19-48
lakis_vas;375;961619128237941000;4;19-48
a_vesiropoulos;264;560852528;4;19-48
KostasVlasis;283;402714886;4;19-48
Vlachos_G;96;2613473180;4;19-48
MVoloudakis;447;21152451;4;19-48
MakisVoridis;139;540179903;4;19-48
Sofia_voultepsi;215;404193258;4;19-48
vroutsisgiannis;212;3064827747;4;19-48
georgantasgr;445;1150728876424870000;4;19-48
AdonisGeorgiadi;251;70340615;4;19-48
stergiannakis;453;1304901391;4;19-33
giogiakasv;368;907708101872284000;4;19-48
STEFANOS_GIKAS;394;395206721;4;19-48
gioulekaskostas;314;190278613;4;19-48
adavakis;27;444707209;4;19-48
NikosDendias;114;236744081;4;19-48
chris_dermen;404;342436250;4;19-48
ChristosDimas_;92;491550694;4;19-48
ADimoschakis;33;2466630270;4;19-48
vdigalakis;442;2245911122;4;19-48
NoniDounia;441;1141433832769500000;4;19-48
AnnaEfthymiou_;353;529702286;4;19-48
than_zebilis;387;1137980607496180000;4;19-48
theodorikakosp;450;1149205366930070000;4;19-48
htheoharis;136;107136186;4;19-48
DimKairidis;403;2608056638;4;19-48
NKaklamanis;50;72838721;4;19-48
KalafatisSt;30;484702915;4;19-48
kallianos;409;310780249;4;19-48
pkappatos;488;1173581893079580000;4;32-48
k_karagounis;236;805151138;4;19-48
AnnaKaramanli;340;478754813;4;19-48
karamanlis_k;493;1156609842888550000;4;32-48
TheoKaraoglou;186;393292109;4;19-48
katsaniotis;45;407091620;4;19-48
katsafados;162;370598533;4;19-26
katsafados;162;370598533;4;29-34
SimosKedikoglou;51;2748749053;4;19-48
keletsis;408;1158632932304680000;4;19-37
kellas_xristos;72;545356505;4;19-48
nkerameus;53;435737814;4;19-48
olgakef;103;2365419054;4;19-48
gkefalogiannis;122;562182659;4;19-48
Vkikilias;205;54283324;4;19-48
manoskonsolas;199;437388094;4;19-48
DKouvelas;467;253261560;4;19-48
GKoumoutsakos;241;633098410;4;19-48
kutsubad;104;563969004;4;19-48
neokliskritikos;460;1139451418975330000;4;19-48
kyranakis;365;17132736;4;19-48
Stathis_Konst;437;557560811;4;19-48
giorgoskotsiras;397;2445790562;4;19-48
KotsosGiorgos;492;1161045320400340000;4;32-48
mvlazaridis;392;189807100;4;19-48
The_Leontaridis;360;540694975;4;19-48
liakosev;407;480344041;4;19-48
SpiliosL;380;1904674254;4;19-48
YiannisLoverdos;166;2500320130;4;19-48
ZettaMakri;377;2783917512;4;19-48
periklismantas;367;196941064;4;19-48
manolakosnik;490;1246802753759950000;4;32-48
maravegiaskost;379;2959151806;4;19-48
MarkopoulosDimi;433;590082909;4;19-48
GeorgiaMartinou;197;546281641;4;19-48
yiannismelas;359;197613052;4;19-48
nmitarakis;83;250518647;4;19-48
kmitsotakis;336;14283525;4;19-48
MonogiouKateri1;389;1140269473397690000;4;19-48
Dora_Bakoyannis;44;13766852;4;19-48
fbaraliakos;452;340183590;4;19-48
t_bartzokas;434;3410091958;4;19-48
BiziouStella;454;759834368168911000;4;19-48
ioannis_mpougas;446;947930930202673000;4;19-48
chboukoros1;133;982264362;4;19-48
athbouras;224;2976349222;4;19-48
BoutsikakisChr;461;849286834337272000;4;19-48
anikolakopoulos;482;1325311602;4;32-48
OikonomouB;112;47575786;4;19-31
OikonomouVasili;112;770226983657701377;4;32-48
joikonomou;498;265981780;4;32-48
npanagioto;240;2892644871;4;19-48
PapadopoulosMix;444;547869595;4;19-48
papakostakater;477;1134005835452080000;4;32-48
pappas_ioannis;358;2960720745;4;19-48
pasxalidisjohn;376;557882540;4;19-48
patsis_andreas;385;1010930311289560000;4;19-48
FotiniPipili;132;481393090;4;19-48
G_Plakiotakis;8;558383750;4;19-48
thanosplevris;390;112445908;4;19-48
Elena_Rapti;227;70973903;4;19-48
raptizoi;436;2443992852;4;19-48
RoussopoulosTh;415;1735479950;4;19-48
SalmasMarios;214;335179820;4;19-48
samaras_antonis;315;83656002;4;19-48
maxsenetakis;362;404869413;4;19-48
efsimopoulos;356;110670092;4;19-48
AsiminaSkondra;363;1466870311;4;19-48
KostasSkrekas;294;3041226449;4;19-48
Skylakakis;501;41333290;4;48-48
vspanakis;423;162448017;4;19-48
cstaikouras;187;84853888;4;19-48
dionstamenitis;386;559643881;4;19-48
ChStefanadis;364;849094652;4;19-48
e_stylianidis;378;1614767336;4;19-48
gstylios;311;74694195;4;19-48
AngelosSyrigos;402;422814594;4;19-48
TagarasNikos;354;552151981;4;19-48
Tzavaraskon;332;2863966079;4;19-48
L_Tsavdaridis;382;787026822;4;19-37
tsiaras_kostas;455;974974055731356000;4;19-48
tsigris_angelos;462;409149518;4;19-48
vnaypsilantis;439;410883378;4;19-48
IasonFotilas;274;3063865762;4;19-48
pantamaximos;349;2969916503;4;19-48
tasos_chatziv;372;474756525;4;19-48
K_Hatzidakis;22;434832879;4;19-48
T_Cheimaras;428;2181688916;4;19-48
HionidisSavvas;414;888762865;4;19-48
chrysomallism;464;3405878033;4;19-48
iriniagath;413;487731215;2;19-48
nasosa8anasiou;287;965785002;2;19-48
Amanatidis_Gian;117;2192270316;2;19-48
sia_anag;268;2427879955;2;19-48
vag_apos;391;961900635913425000;2;19-48
davgeri;400;357631685;2;19-48
a_avlonitis;478;1161547840449130000;2;32-48
E_Achtsioglou;398;1051860153191100000;2;19-48
annavayena;292;3377051099;2;19-48
sokrvardakis;463;773986323422147000;2;19-48
chrisvernard;123;417017633;2;19-48
dimitrisvitsas;245;4031768219;2;19-48
olgagerovasili;126;2786227298;2;19-48
giannoul;440;359478003;2;19-42
NatasaGkara;468;583853188;2;19-48
YDragasakis;190;806736306;2;19-48
teleftheriadou;494;1293462895842550000;2;32-48
CZachariadis;412;204069781;2;19-48
ZeybekHuseyin;458;338861628;2;19-48
IgoumenidisN;374;907201823613837000;2;19-48
dckalamatianos;419;2952906353;2;19-48
ninakasimati;352;267790532;2;19-48
gkatr;159;42008209;2;19-48
marios_katsis;345;3325625573;2;19-48
VASILISKOKKALHS;46;555858535;2;19-48
spyroslappas1;491;1232684640202320000;2;32-48
KiriakiMalama;465;1150482424134090000;2;19-48
Mamoulakis;426;823985090925576000;2;19-48
A_Meikopoulos;219;1001342479;2;19-48
imouzalas;430;4187615537;2;19-48
ybalafas;225;1728198787;2;19-48
kostasbarkas;275;4178705584;2;19-48
alterglobal;393;24637896;2;19-48
thanos_moraitis;396;404205439;2;19-48
katenotopoulou;443;983983199012426000;2;19-48
Xanthopoulosth;486;1192464378240610000;2;32-48
andreasxanthos;237;1701576919;2;19-48
marilizaxen;466;1224671498;2;19-48
sakis_papad;479;970306790;2;32-48
nikospappas16;259;403331236;2;19-48
PetiPerka;432;1059819442572610000;2;19-48
pavpol2222;19;2367424185;2;19-48
GIOTAPOULOU;361;567066109;2;19-48
gragkousis;355;370616013;2;19-48
nectarsant;64;17991384;2;19-48
JSarakiotis;160;709702013865562000;2;19-48
pskourl;75;408566492;2;19-48
PanosSkourolia1;79;3936923243;2;19-48
BSkoufa;422;712255673178976000;2;19-48
c_spirtzis;270;758622915965444000;2;19-48
syrmal2000;181;349090550;2;19-48
teligioridou;416;1057566665595080000;2;19-48
d_tzanakopoulos;457;801812686954725000;2;19-48
meropitzoufi;296;3096944951;2;19-48
atolkas;500;22245001;2;39-48
tr_alexandros;193;2662790664;2;39-48
tsakalotos;248;2975032769;2;19-48
giorgostsipras;469;2960910021;2;19-48
atsipras;31;334602996;2;19-48
SFamellos;285;3034441257;2;19-48
nikosfilis1;269;2969679155;2;19-48
TheanoFotiou;135;631973249;2;19-48
alexischaritsis;411;973164892877459000;2;19-48
Ral_Christidou;399;171176245;2;19-48
g_psychogios;431;3100185977;2;19-48
Arvanitidis_Geo;150;269667949;3;19-48
ILHANAHMET;420;102001522;3;19-47
ngiannakopoulou;429;414090002;3;19-48
KaminisG;470;191033632;3;19-48
KastanidisHaris;369;534632102;3;19-48
michaelkatrinis;438;32475807;3;19-48
BKegeroglou;69;588106696;3;19-48
xarakefalidou;244;4126380982;3;19-48
Odysseas_;141;70713954;3;19-48
dkonstantop;309;3308342351;3;19-48
a_loverdos;189;225931853;3;19-48
GMoulkiotis;495;1191680252201850000;3;32-48
BurhanBaranDr;485;1177124881688870000;3;32-48
dimitrisbiagkis;410;1159407842350290000;3;19-48
PanasApostolos;451;1259340614;3;19-48
GPapandreou;459;7005602;3;19-48
AndreasPoulas;489;347951559;3;32-48
KSkandalidis;17;539098641;3;19-48
FragidisGeorge;497;1248746286460920000;3;32-48
avdelas_ap;483;1254725873456080000;5;32-48
MariaAt03902914;475;1153988844498440000;5;32-48
anaik2020;481;1168241295149740000;5;32-48
SofAsimak;383;1148229718627540000;5;19-48
B3Vagenas;476;1302266183790600000;5;32-48
velopky;427;579067205;5;19-39
ViliardosV;395;174226430;5;19-48
kostasmpoumpas;471;1165984732045370000;5;32-48
AntMylonakis;474;501969331;5;32-48
ChitasKostas;406;366594800;5;19-48
karsenis;448;92969084;1;19-48
yanisvaroufakis;357;124690469;1;19-48
GeorgeLogiadis;371;1168885946361760000;1;19-48
fbakadima;421;350800867;1;19-48
SofiaSakorafa;418;533082734;1;19-48
kouroumplis;253;414287765;0;19-48
bogdanosk;301;53439175;0;19-48
GVaremenos;487;1179294218088599552;2;32-48
FofiGennimata;10;71482406;3;19-32